ID,price_predicted
15856,220812.67895928322
5480,190010.84957968481
7633,215236.00882454324
3310,218113.27616570127
5214,107011.62421374679
3495,213359.09564322076
16688,150489.75889126092
8968,173114.24328716553
11160,116922.152346241
2982,179582.9905066417
2449,185943.23813905712
10704,168686.84304153264
6624,110912.72132192079
5428,178789.56698999435
11513,146773.52479605668
12309,234293.29616615456
14788,132349.4470556827
10614,112166.54033634832
3061,211390.5932484691
9011,186447.88222804444
1872,160808.39835327005
9205,347115.05589590507
5403,422179.58359871904
6268,149838.3059027947
7034,308409.1112351401
6553,449963.3577493788
12389,231251.732960937
14462,193255.8219108789
5438,209517.3364383195
12499,211093.56190776065
12249,131963.7159733238
14641,168691.84058890678
7848,200451.37462135733
10749,200297.18227268604
3103,240784.16513898555
12262,245473.99158552193
5032,140035.80520323158
7809,100075.113237365
12743,107282.5828860713
5132,132599.1175008584
1619,276237.89303109806
14685,132015.19246531048
5746,126130.83133428537
12578,188056.49179963273
14834,166207.47966777565
8222,133630.51265836763
6317,270140.93392947124
3895,167969.80218974405
12271,194623.57596688467
11709,274754.6894833937
1105,410986.46550471755
11727,216016.77010530725
3679,138410.3785887327
1755,162469.21292524642
14320,106611.50047310906
9596,156157.65488870043
7378,87250.01690504709
9477,119882.88375662445
12025,216903.0590446839
2509,195483.92370047767
12089,401227.37618872867
10694,115047.34160147277
10747,217031.73838239408
1721,212577.67417733456
5060,251738.1963308021
16055,230496.97417072483
4118,149770.92216537663
16515,145635.4124044264
5896,121991.83325944113
8911,180713.21452721505
4766,204553.31412698593
6605,209860.38973863085
9696,158546.06734132636
16786,125022.7330361648
6552,184918.28288222573
5857,249356.0743163529
7134,190803.15883620322
8069,125344.74848983776
12212,212141.58022501253
5399,261641.66765848172
13706,212713.3687050819
16000,203697.53305216375
16378,275647.76628236886
9887,166830.24914412983
8908,202539.91954347916
256,126565.26023835015
7234,201735.10099143625
7981,69593.11362467331
9224,149603.74992641748
2464,318792.03906911495
5551,220654.31732110213
12187,190680.07682626325
9203,202817.6735615496
15412,93303.28998180543
10685,168505.2284171269
940,142974.00169861797
14959,212237.78187585215
3288,264914.2000873676
3146,235702.2147462025
1320,101196.9100655545
16482,147485.77109878065
5017,145731.44740730635
13978,132151.11313106457
3630,162735.59215211912
13945,220767.1174900546
10663,202307.55740595673
14803,195631.84408207034
7621,194543.94033827342
8205,217582.5766746222
10387,212860.2651021441
15028,144164.77388364804
14806,194338.71193933501
14926,188243.12750047483
7351,151646.19617565587
12024,181358.66453460298
5042,156534.41109757163
13289,146571.2823417324
11333,168728.36513912235
2867,142231.81861056117
7055,215181.47106206507
3444,137816.50900515643
9665,164546.4435956646
11533,181626.28001639212
2314,125680.50802627034
13437,190715.78216454378
14557,276652.75017406495
2559,197899.54630277143
11110,210300.46969341437
16057,213036.12405483483
16709,219992.24167504918
3738,306838.87673021405
3686,123617.02448051478
15539,259279.2263905158
7431,262027.34576798315
1142,153559.385712602
9802,203117.55168917877
2346,199217.39856451296
2168,236786.64472883652
8465,225401.92112312195
6539,145543.37529093906
6325,110791.62659464512
4872,234332.42544472183
16274,417471.06313077087
11837,239250.30314371837
11315,224330.54249372706
273,213329.70196574557
4255,216047.9739111795
1633,119675.7575030126
6791,209320.35340342866
12094,226774.04102691475
11718,173222.778216856
10243,212052.9883183915
11378,176789.50878184664
14190,181419.16258002393
15265,143928.9158754595
2740,132756.5011234098
117,449818.27336286695
12359,143212.0748531499
8133,159255.6443096834
9280,149189.89453419347
12397,144147.2211165084
9453,145522.54200170285
1274,101414.11564447876
7240,217147.5438734944
6550,123154.35228791024
10226,224655.77652763174
4508,122908.71625207244
11427,134787.11948887227
16401,112299.70836508914
2809,211914.46827557127
13311,186032.13085663068
6019,174624.96413314345
1391,235067.16496711448
2249,193205.49218994196
14384,151878.92262626457
8872,145005.61044292583
1840,121735.12792416704
15154,230002.12423514188
12766,147586.2854456115
4634,147764.49211747845
889,221663.6630734254
4774,131481.98712725987
15431,147842.10580310115
6147,144207.36230549478
14976,106183.06328772276
12185,215085.206835469
4779,134766.2376332679
10616,216883.95498575005
7475,113570.8294860512
6341,330872.30113052216
14163,148257.77940830935
7188,211499.3138374527
7197,213430.1301479574
11270,170109.22512096853
15918,93232.73638930425
14019,196116.9527555931
16764,148210.1979494016
15306,165966.9121462803
5298,209358.50391418076
8319,198132.24681682442
13429,192601.07937249492
6699,125954.1197210139
16647,124455.35012656936
7339,202585.73566142647
3248,121327.16619799267
15178,68033.35539156363
1735,310801.8114027076
5501,118224.63182199758
4258,160897.6610009851
197,110790.8293322239
11641,185609.15529090748
14609,118985.30326155594
6945,349277.131805223
14006,205250.1026189118
12061,213159.84931503917
1048,212594.33226191203
3639,217748.33040151733
14448,225446.45573530905
2812,403613.5195506338
8883,120358.69701344924
7843,159082.30998215592
15247,371527.5821266461
902,301079.2233988074
11584,237920.7448336785
15576,150109.06984752353
12579,132734.60915635954
12013,235273.08084807065
591,156626.13363102547
7555,188484.85497022755
2046,219261.6322544251
7061,213980.5224251458
12112,215903.33542622117
7735,158990.65794574932
16442,210150.0405687796
11190,211384.53766667776
9318,208298.63983105522
6130,192945.5202985253
14811,128667.77175028728
2953,128391.17391531337
14629,149152.66823373892
2115,196180.07444510405
14584,146078.3042615481
1893,398031.90794516384
2138,137096.99460249633
4359,281303.22377115453
10141,147119.32237014698
683,120201.4769039751
10488,204393.05587740624
875,162474.3913349011
2695,279819.03032104415
10014,146130.0265624048
8560,273249.9737787755
2870,196755.98378265102
13924,136970.30600381028
798,261745.37245179017
11637,147689.09796558163
310,151359.58611623102
8709,101724.89489841116
14986,220254.26133917362
12233,200337.57668414142
14965,84075.30489456879
5418,194249.07130818014
14962,123277.00166498113
1134,191261.08417816792
15092,335517.19545845414
3177,177030.4943144476
1524,113866.7579585601
11222,212032.1575615655
7180,367428.0310785962
5763,122721.3407471248
2192,212972.17881505488
10720,159230.58723901748
6794,173881.21700444428
16271,159712.11260034348
5818,133349.23481839924
8981,131498.52939065642
16476,128443.86986234238
1852,443598.8401481744
15079,187819.7534291759
10483,358682.99471990333
6449,189181.17648369225
16472,145694.38176509974
11973,138965.93229808807
15989,132812.9367232669
11772,145134.8841671544
6428,138504.23308881986
6869,105896.0635723875
10926,216131.1083189978
10076,213157.63477973026
10184,130891.5288932875
13196,122919.13984084064
13662,236980.02485916828
9242,197332.52459058422
2641,182455.03516323876
6732,158191.23286414816
4066,263002.14733870584
3601,121149.55233258457
14363,183943.91043009664
8615,149609.26821821445
5218,74091.04550964305
9493,205881.774546381
8086,129985.99731858651
3425,112217.91098508019
10582,147894.6141730234
16478,341859.22767480684
15242,185566.34520322655
14358,194274.6178565554
11300,224487.66885882485
5446,173530.79353755023
6610,195389.40759780456
4646,204611.9118147641
4746,147553.0535143525
7160,200741.48295977953
6179,98931.87898157576
10992,262349.30452397635
6064,213258.917807745
8453,68003.38223464333
3806,157075.47364113483
11380,208673.87762350932
12003,212791.95501028936
14567,233438.05049189468
10174,191424.70832882746
5514,241152.1710629525
13195,212267.3980676874
3122,190447.4310838253
5470,243411.1153027568
9158,107066.47868496637
10120,145353.05540391587
7447,131843.3458306275
11165,229123.54139619033
9078,228857.9687971169
11371,128522.87412465634
5149,205726.6414409223
5868,195733.178229857
7427,181957.91225568202
15920,124802.15355657977
8622,85414.69194340378
11610,280894.17391939746
10969,122601.24300732669
11029,152442.24869463834
14087,488077.5577209453
949,148132.65110172934
8728,297700.8792774802
2859,127894.55861344973
9243,120342.0306525257
5511,132068.2861218399
7614,121177.5316300549
2770,140838.1625777247
111,180090.19537830152
12341,214026.54700787712
15983,133382.2863479718
653,180039.56339322292
7976,191006.45784837674
13535,183064.28488932314
11045,351008.10423569265
52,283938.3290283042
16045,210425.37108306
15719,189685.2117623222
8267,131288.72755161847
2988,258427.53308213127
10769,134413.70744948965
1359,176399.57734865363
15614,127140.27305631977
15101,259743.20504189693
3390,386828.9236788499
1986,176484.6867253034
9693,119855.09911210256
8736,111118.48273371127
15100,202236.33692893866
1972,361148.2352514172
6150,217075.3140862024
4985,166007.82259176637
5393,126529.7378545794
1730,137968.34389385142
6044,326236.59223689715
3852,118794.68409163378
6112,213289.19989559107
9825,241004.44291043378
2411,261316.389074647
15970,182151.53319155553
2564,197726.98534179456
16754,215138.73205572236
16195,145828.38849324093
13034,334897.6310263902
2235,155711.87618038547
16732,284535.7215902028
11499,184884.98974194456
15184,133828.02150839366
10281,212099.32493500202
6976,390073.5492484851
14680,157153.13598547454
7183,202495.82419619235
11404,129684.70456292445
